Route Key,Route Symbol,Route Name,Pattern Key,Direction Key,Stop Name,Stop Code,Latitude,Longitude
31b47473-7d44-4c24-8eaf-04081cefb399,AGR,Gameday Agronomy,224f1633-b7a9-40b4-804c-333ee8a9f627,dcb73508-92ac-4ff2-8295-adf90bc2043a,Equine Center,9906.0,30.6153818019812,-96.3689345553676
31b47473-7d44-4c24-8eaf-04081cefb399,AGR,Gameday Agronomy,224f1633-b7a9-40b4-804c-333ee8a9f627,dcb73508-92ac-4ff2-8295-adf90bc2043a,,,30.6155586931302,-96.3688529149792
31b47473-7d44-4c24-8eaf-04081cefb399,AGR,Gameday Agronomy,224f1633-b7a9-40b4-804c-333ee8a9f627,dcb73508-92ac-4ff2-8295-adf90bc2043a,,,30.6157519250202,-96.3682265921208
31b47473-7d44-4c24-8eaf-04081cefb399,AGR,Gameday Agronomy,224f1633-b7a9-40b4-804c-333ee8a9f627,dcb73508-92ac-4ff2-8295-adf90bc2043a,,,30.6158510833403,-96.3676623106777
31b47473-7d44-4c24-8eaf-04081cefb399,AGR,Gameday Agronomy,224f1633-b7a9-40b4-804c-333ee8a9f627,dcb73508-92ac-4ff2-8295-adf90bc2043a,,,30.6158332857006,-96.3671216640594
31b47473-7d44-4c24-8eaf-04081cefb399,AGR,Gameday Agronomy,224f1633-b7a9-40b4-804c-333ee8a9f627,dcb73508-92ac-4ff2-8295-adf90bc2043a,,,30.615736669885,-96.3667789590992
31b47473-7d44-4c24-8eaf-04081cefb399,AGR,Gameday Agronomy,224f1633-b7a9-40b4-804c-333ee8a9f627,dcb73508-92ac-4ff2-8295-adf90bc2043a,,,30.6155612356576,-96.3664421628451
31b47473-7d44-4c24-8eaf-04081cefb399,AGR,Gameday Agronomy,224f1633-b7a9-40b4-804c-333ee8a9f627,dcb73508-92ac-4ff2-8295-adf90bc2043a,,,30.61533495046,-96.3661555905939
31b47473-7d44-4c24-8eaf-04081cefb399,AGR,Gameday Agronomy,224f1633-b7a9-40b4-804c-333ee8a9f627,dcb73508-92ac-4ff2-8295-adf90bc2043a,,,30.6183007864185,-96.3628882358076
31b47473-7d44-4c24-8eaf-04081cefb399,AGR,Gameday Agronomy,224f1633-b7a9-40b4-804c-333ee8a9f627,dcb73508-92ac-4ff2-8295-adf90bc2043a,,,30.621323447536,-96.3596055737379
